"","Page","Position_Name","Company_Name","Location_Name"
"29",0,"VitalityGroupInc","DataVisualizationAnalyst","ChicagoIL"
"30",0,"FarmersFridge","DataScientist","ChicagoIL"
"31",0,"iSpottv","DataAnalyst","ChicagoIL"
"32",0,"Pinterest","BusinessAnalystContentCreators","ChicagoIL"
"33",0,"AvisonYoung","DataAnalyst","ChicagoIL"
"34",0,"LevelEx","DataAnalyst","ChicagoIL"
"35",0,"UnitedAirlines","InternPeopleAnalyticsSummer2023","ChicagoIL"
"36",0,"fairlifeLLC","AnalystDataDecisionIntelligence","ChicagoIL"
"37",0,"UnitedAirlines","AnalystMarketingAnalytics","ChicagoIL"
"38",0,"UniversityofChicago","DataAnalyst","ChicagoIL"
"39",0,"Fetch","DataAnalyticsInternshipUIUCCareerFair","ChicagoIL"
"40",0,"MagnoliaCapital","DataAnalyst","ChicagoIL"
"41",0,"FamilyChristian","DataAnalyst","HarveyIL"
"42",0,"MagnoliaCapital","DataEngineerInternship","ChicagoIL"
"43",0,"TheParkingSpot","DataAnalyst","ChicagoIL"
"44",0,"SynecticsInc","DataAnalyst","ChicagoIL"
"45",0,"StaffingNetworkLLC","EntrylevelVirtualDataEntryAnalystAssistantRemote","ChicagoIL"
"46",0,"RedwoodLogistics","DataAnalyst","ChicagoIL"
"47",0,"KaufmanHall","DataScientist","ChicagoIL"
"48",0,"AlliantCreditUnion","DataAnalyst","ChicagoIL"
"49",0,"PlanetTechnology","DataAnalyst","ChicagoIL"
"50",0,"Rheaply","DataAnalyst","ChicagoIL"
"51",1,"TheFieldMuseum","DataAnalyst","ChicagoIL"
"52",1,"PatientIQ","DataAnalyst","ChicagoIL"
"53",1,"ChicagoTeachersPensionFund","DataAnalyst","ChicagoIL"
"54",1,"VitalityGroupInc","DataVisualizationAnalyst","ChicagoIL"
"55",1,"FarmersFridge","DataScientist","ChicagoIL"
"56",1,"iSpottv","DataAnalyst","ChicagoIL"
"57",1,"Pinterest","BusinessAnalystContentCreators","ChicagoIL"
"58",1,"AvisonYoung","DataAnalyst","ChicagoIL"
"59",1,"LevelEx","DataAnalyst","ChicagoIL"
"60",1,"UnitedAirlines","InternPeopleAnalyticsSummer2023","ChicagoIL"
"61",1,"fairlifeLLC","AnalystDataDecisionIntelligence","ChicagoIL"
"62",1,"UnitedAirlines","AnalystMarketingAnalytics","ChicagoIL"
"63",1,"UniversityofChicago","DataAnalyst","ChicagoIL"
"64",1,"Fetch","DataAnalyticsInternshipUIUCCareerFair","ChicagoIL"
"65",1,"MagnoliaCapital","DataAnalyst","ChicagoIL"
