"","year","date","statefips","countyfips","ctfips","latitude","longitude","ds_o3_pred","ds_o3_stdd"
"151","2016","04JAN2016","55","105","55105003100","42.80181","-88.95325","33.7018","6.091"
"152","2016","04JAN2016","55","105","55105003001","42.83565","-89.07194","33.5704","6.0883"
"153","2016","05JAN2016","55","105","55105001500","42.50099","-89.02769","26.244","4.6169"
"154","2016","05JAN2016","55","105","55105001600","42.50188","-89.04802","26.2546","4.5927"
"155","2016","05JAN2016","55","105","55105001900","42.50673","-89.01721","26.2214","4.5933"
"156","2016","05JAN2016","55","105","55105002000","42.50687","-89.06441","26.3862","4.6364"
"157","2016","05JAN2016","55","105","55105001700","42.51589","-89.04543","26.4669","4.609"
"158","2016","05JAN2016","55","105","55105001800","42.51755","-89.02678","26.252","4.5554"
"159","2016","05JAN2016","55","105","55105002100","42.53038","-89.05855","26.5474","4.7568"
"160","2016","05JAN2016","55","105","55105002300","42.53279","-89.02897","26.3537","4.5854"
"161","2016","05JAN2016","55","105","55105002602","42.53666","-88.9448","25.9082","4.6576"
"162","2016","05JAN2016","55","105","55105002500","42.53716","-89.01592","26.3209","4.5887"
"163","2016","05JAN2016","55","105","55105002200","42.54582","-89.09027","26.9642","4.819"
"164","2016","05JAN2016","55","105","55105003300","42.54762","-88.83378","26.0051","4.7501"
"165","2016","05JAN2016","55","105","55105002700","42.54843","-89.24627","27.4827","4.9055"
"166","2016","05JAN2016","55","105","55105002601","42.55448","-88.99945","26.3796","4.6739"
"167","2016","05JAN2016","55","105","55105002400","42.56141","-89.02588","26.6787","4.8176"
"168","2016","05JAN2016","55","105","55105001400","42.62309","-89.01896","26.7774","4.9414"
"169","2016","05JAN2016","55","105","55105001302","42.64148","-88.93872","26.441","4.8926"
"170","2016","05JAN2016","55","105","55105001201","42.64202","-89.09185","27.2905","5.0477"
"171","2016","05JAN2016","55","105","55105001100","42.65795","-89.04421","27.1779","5.0487"
"172","2016","05JAN2016","55","105","55105001000","42.66515","-89.01236","26.7207","4.8991"
"173","2016","05JAN2016","55","105","55105002800","42.66682","-89.23995","28.1036","5.1903"
"174","2016","05JAN2016","55","105","55105000300","42.67417","-89.02437","26.9481","5.1066"
"175","2016","05JAN2016","55","105","55105000400","42.67738","-89.04153","27.0833","5.007"
"176","2016","05JAN2016","55","105","55105000200","42.68317","-89.01108","27.0463","4.9821"
"177","2016","05JAN2016","55","105","55105000100","42.68356","-89.02426","27.1005","5.0899"
"178","2016","05JAN2016","55","105","55105000900","42.6843","-88.99207","26.724","5.057"
"179","2016","05JAN2016","55","105","55105000800","42.69536","-89.00179","26.8921","5.0538"
"180","2016","05JAN2016","55","105","55105000600","42.69674","-89.02224","26.9435","5.0911"
"181","2016","05JAN2016","55","105","55105000500","42.70099","-89.04299","27.1612","5.0316"
"182","2016","05JAN2016","55","105","55105000700","42.71025","-88.99385","27.0271","5.1386"
"183","2016","05JAN2016","55","105","55105001304","42.71477","-88.97057","26.7664","5.0523"
"184","2016","05JAN2016","55","105","55105003200","42.72317","-88.83716","26.6283","4.9429"
"185","2016","05JAN2016","55","105","55105001202","42.73139","-89.06797","27.4168","5.2713"
"186","2016","05JAN2016","55","105","55105001303","42.73339","-88.94172","26.6292","5.0628"
"187","2016","05JAN2016","55","105","55105002900","42.78101","-89.29198","28.6356","5.5811"
"188","2016","05JAN2016","55","105","55105003002","42.80168","-89.11307","28.2318","5.336"
"189","2016","05JAN2016","55","105","55105003100","42.80181","-88.95325","27.1442","5.1879"
"190","2016","05JAN2016","55","105","55105003001","42.83565","-89.07194","27.8433","5.35"
"191","2016","06JAN2016","55","105","55105001500","42.50099","-89.02769","20.488","4.3695"
"192","2016","06JAN2016","55","105","55105001600","42.50188","-89.04802","20.6079","4.2608"
"193","2016","06JAN2016","55","105","55105001900","42.50673","-89.01721","20.5189","4.2412"
"194","2016","06JAN2016","55","105","55105002000","42.50687","-89.06441","20.6643","4.3072"
"195","2016","06JAN2016","55","105","55105001700","42.51589","-89.04543","20.621","4.324"
"196","2016","06JAN2016","55","105","55105001800","42.51755","-89.02678","20.4091","4.2711"
"197","2016","06JAN2016","55","105","55105002100","42.53038","-89.05855","20.717","4.2881"
"198","2016","06JAN2016","55","105","55105002300","42.53279","-89.02897","20.6898","4.4381"
"199","2016","06JAN2016","55","105","55105002602","42.53666","-88.9448","20.6371","4.4163"
"200","2016","06JAN2016","55","105","55105002500","42.53716","-89.01592","20.5139","4.3046"
"201","2016","06JAN2016","55","105","55105002200","42.54582","-89.09027","20.9439","4.4307"
"202","2016","06JAN2016","55","105","55105003300","42.54762","-88.83378","21.0785","4.5155"
"203","2016","06JAN2016","55","105","55105002700","42.54843","-89.24627","21.7738","4.7132"
"204","2016","06JAN2016","55","105","55105002601","42.55448","-88.99945","20.6798","4.409"
"205","2016","06JAN2016","55","105","55105002400","42.56141","-89.02588","20.8378","4.4263"
"206","2016","06JAN2016","55","105","55105001400","42.62309","-89.01896","21.1603","4.5261"
"207","2016","06JAN2016","55","105","55105001302","42.64148","-88.93872","21.183","4.5607"
"208","2016","06JAN2016","55","105","55105001201","42.64202","-89.09185","21.6811","4.7375"
"209","2016","06JAN2016","55","105","55105001100","42.65795","-89.04421","21.5198","4.7407"
"210","2016","06JAN2016","55","105","55105001000","42.66515","-89.01236","21.2237","4.6495"
"211","2016","06JAN2016","55","105","55105002800","42.66682","-89.23995","22.4077","4.9385"
"212","2016","06JAN2016","55","105","55105000300","42.67417","-89.02437","21.2981","4.7134"
"213","2016","06JAN2016","55","105","55105000400","42.67738","-89.04153","21.3481","4.8714"
"214","2016","06JAN2016","55","105","55105000200","42.68317","-89.01108","21.2822","4.7651"
"215","2016","06JAN2016","55","105","55105000100","42.68356","-89.02426","21.2774","4.7261"
"216","2016","06JAN2016","55","105","55105000900","42.6843","-88.99207","21.3688","4.677"
"217","2016","06JAN2016","55","105","55105000800","42.69536","-89.00179","21.3243","4.7104"
"218","2016","06JAN2016","55","105","55105000600","42.69674","-89.02224","21.4131","4.6485"
"219","2016","06JAN2016","55","105","55105000500","42.70099","-89.04299","21.7456","4.7792"
"220","2016","06JAN2016","55","105","55105000700","42.71025","-88.99385","21.3467","4.7759"
"221","2016","06JAN2016","55","105","55105001304","42.71477","-88.97057","21.2847","4.644"
"222","2016","06JAN2016","55","105","55105003200","42.72317","-88.83716","21.2634","4.705"
"223","2016","06JAN2016","55","105","55105001202","42.73139","-89.06797","21.9001","4.8171"
"224","2016","06JAN2016","55","105","55105001303","42.73339","-88.94172","21.2852","4.681"
"225","2016","06JAN2016","55","105","55105002900","42.78101","-89.29198","23.2178","5.2484"
"226","2016","06JAN2016","55","105","55105003002","42.80168","-89.11307","22.3981","4.9896"
"227","2016","06JAN2016","55","105","55105003100","42.80181","-88.95325","21.5408","4.9177"
"228","2016","06JAN2016","55","105","55105003001","42.83565","-89.07194","22.3731","5.1012"
"229","2016","07JAN2016","55","105","55105001500","42.50099","-89.02769","17.7681","4.2155"
"230","2016","07JAN2016","55","105","55105001600","42.50188","-89.04802","17.8075","4.1949"
"231","2016","07JAN2016","55","105","55105001900","42.50673","-89.01721","17.8222","4.1034"
"232","2016","07JAN2016","55","105","55105002000","42.50687","-89.06441","17.8581","4.1975"
"233","2016","07JAN2016","55","105","55105001700","42.51589","-89.04543","18.1968","4.2888"
"234","2016","07JAN2016","55","105","55105001800","42.51755","-89.02678","18.0223","4.3234"
"235","2016","07JAN2016","55","105","55105002100","42.53038","-89.05855","17.9406","4.4046"
"236","2016","07JAN2016","55","105","55105002300","42.53279","-89.02897","17.9708","4.3384"
"237","2016","07JAN2016","55","105","55105002602","42.53666","-88.9448","18.3068","4.4463"
"238","2016","07JAN2016","55","105","55105002500","42.53716","-89.01592","18.213","4.3752"
"239","2016","07JAN2016","55","105","55105002200","42.54582","-89.09027","18.3486","4.3712"
"240","2016","07JAN2016","55","105","55105003300","42.54762","-88.83378","18.8319","4.3893"
"241","2016","07JAN2016","55","105","55105002700","42.54843","-89.24627","18.5921","4.5029"
"242","2016","07JAN2016","55","105","55105002601","42.55448","-88.99945","18.0816","4.2301"
"243","2016","07JAN2016","55","105","55105002400","42.56141","-89.02588","18.0411","4.3194"
"244","2016","07JAN2016","55","105","55105001400","42.62309","-89.01896","18.5151","4.5293"
"245","2016","07JAN2016","55","105","55105001302","42.64148","-88.93872","18.6737","4.5465"
"246","2016","07JAN2016","55","105","55105001201","42.64202","-89.09185","18.6135","4.6506"
"247","2016","07JAN2016","55","105","55105001100","42.65795","-89.04421","18.5814","4.4957"
"248","2016","07JAN2016","55","105","55105001000","42.66515","-89.01236","18.595","4.6264"
"249","2016","07JAN2016","55","105","55105002800","42.66682","-89.23995","18.7906","4.7114"
"250","2016","07JAN2016","55","105","55105000300","42.67417","-89.02437","18.5131","4.45"
"251","2016","07JAN2016","55","105","55105000400","42.67738","-89.04153","18.6652","4.648"
"252","2016","07JAN2016","55","105","55105000200","42.68317","-89.01108","18.6569","4.4882"
"253","2016","07JAN2016","55","105","55105000100","42.68356","-89.02426","18.5921","4.5233"
"254","2016","07JAN2016","55","105","55105000900","42.6843","-88.99207","18.7057","4.5201"
"255","2016","07JAN2016","55","105","55105000800","42.69536","-89.00179","18.8056","4.5859"
"256","2016","07JAN2016","55","105","55105000600","42.69674","-89.02224","18.6674","4.6068"
"257","2016","07JAN2016","55","105","55105000500","42.70099","-89.04299","18.8531","4.6891"
"258","2016","07JAN2016","55","105","55105000700","42.71025","-88.99385","18.689","4.7627"
"259","2016","07JAN2016","55","105","55105001304","42.71477","-88.97057","18.6738","4.6389"
"260","2016","07JAN2016","55","105","55105003200","42.72317","-88.83716","19.2897","4.5512"
"261","2016","07JAN2016","55","105","55105001202","42.73139","-89.06797","18.5976","4.7475"
"262","2016","07JAN2016","55","105","55105001303","42.73339","-88.94172","18.7436","4.6038"
"263","2016","07JAN2016","55","105","55105002900","42.78101","-89.29198","18.9284","4.7291"
"264","2016","07JAN2016","55","105","55105003002","42.80168","-89.11307","18.6694","4.6651"
"265","2016","07JAN2016","55","105","55105003100","42.80181","-88.95325","18.8736","4.6306"
"266","2016","07JAN2016","55","105","55105003001","42.83565","-89.07194","18.7274","4.8157"
"267","2016","08JAN2016","55","105","55105001500","42.50099","-89.02769","14.9346","4.0476"
"268","2016","08JAN2016","55","105","55105001600","42.50188","-89.04802","15.1082","4.1625"
"269","2016","08JAN2016","55","105","55105001900","42.50673","-89.01721","15.2203","4.2722"
"270","2016","08JAN2016","55","105","55105002000","42.50687","-89.06441","15.1096","4.3168"
"271","2016","08JAN2016","55","105","55105001700","42.51589","-89.04543","15.2837","4.219"
